Professor,ID,School
Tim Flaherty,44203,Carnegie Mellon University
Gregory Johnson,1342725,Carnegie Mellon University
Russ Walker,67155,Carnegie Mellon University
John Mackey,372432,Carnegie Mellon University
Irina Gheorghiciuc,1082495,Carnegie Mellon University
Daniela Mihai ,925645,Carnegie Mellon University
David Handron ,25618,Carnegie Mellon University
Gordon Weinberg ,1333482,Carnegie Mellon University
William Hrusa ,44201,Carnegie Mellon University
Dale Winter,1183710,Carnegie Mellon University
Ernest Schimmerling ,255059,Carnegie Mellon University
Deborah Brandon ,154821,Carnegie Mellon University
Oded Meyer ,17542,Carnegie Mellon University
Matthew P. Szudzik ,127921,Carnegie Mellon University
Juan Jorge Schäffer ,13996,Carnegie Mellon University
Jack Schaeffer,21628,Carnegie Mellon University
John Tolle,94550,Carnegie Mellon University
Noel Walkington ,256536,Carnegie Mellon University
Agoston Pisztora ,1685094,Carnegie Mellon University
Rima Gandlin,274099,Carnegie Mellon University
David Kravitz ,480162,Carnegie Mellon University
Loh Po-Shen ,1760272,Carnegie Mellon University
Peter Andrews ,67134,Carnegie Mellon University
Richard Statman,127926,Carnegie Mellon University
James Cummings ,630331,Carnegie Mellon University
Rebecca Nugent ,1478443,Carnegie Mellon University
Rami Grossberg ,67153,Carnegie Mellon University
Howard Seltman ,343644,Carnegie Mellon University
Joshua Ballew,2057809,Carnegie Mellon University
David Owen,393733,Carnegie Mellon University
Maryon Oliver ,789074,Carnegie Mellon University
Weining Kang ,838166,Carnegie Mellon University
Boris Bukh ,1804409,Carnegie Mellon University
Peter Freeman ,2130842,Carnegie Mellon University
Alan Frieze,67140,Carnegie Mellon University
Luca Deseri ,618728,Carnegie Mellon University
Dmitry Kramkov ,989158,Carnegie Mellon University
Pantelis Vlachos,1048277,Carnegie Mellon University
Gautam Iyer,1386152,Carnegie Mellon University
Xizhen Cai ,1957485,Carnegie Mellon University
Weicheng Ye,2154112,Carnegie Mellon University
Janusz Ginster,2219752,Carnegie Mellon University
Michael Tait,2311924,Carnegie Mellon University
Katherine Thompson ,2401786,Carnegie Mellon University
Cosma Shalizi,910522,Carnegie Mellon University
Alessandro Rinaldo ,1023503,Carnegie Mellon University
Gabrielle (abby) Flynt Fijas,1732653,Carnegie Mellon University
Giovanni Leoni,1772896,Carnegie Mellon University
Ian Tice ,1857802,Carnegie Mellon University
Joel Greenhouse ,2068043,Carnegie Mellon University
Adam Gutter,2146523,Carnegie Mellon University
Xiaoqian Xu ,2359122,Carnegie Mellon University
Jack Shapiro ,458665,Washington University of Saint Louis
Brian Blank,134134,Washington University of Saint Louis
Ed Spitznagel,450046,Washington University of Saint Louis
Martha Hasting,306635,Washington University of Saint Louis
Ron Freiwald,437461,Washington University of Saint Louis
Cleon Yohe,245881,Washington University of Saint Louis
Richard Rochberg,272224,Washington University of Saint Louis
John Shareshian,929006,Washington University of Saint Louis
John McCarthy,439736,Washington University of Saint Louis
Mohan Kumar,708418,Washington University of Saint Louis
Rachel Roberts,396651,Washington University of Saint Louis
Nik Weaver,461219,Washington University of Saint Louis
Blake Thornton,836811,Washington University of Saint Louis
Roya Beheshti,1229153,Washington University of Saint Louis
Steve Krantz,444149,Washington University of Saint Louis
Jimin Ding,927677,Washington University of Saint Louis
Victor Wickerhauser,631241,Washington University of Saint Louis
Edward Wilson,71311,Washington University of Saint Louis
Quo-Shin Chi,539393,Washington University of Saint Louis
Renato Feres,543723,Washington University of Saint Louis
Vladimir S Kurenok,1780252,Washington University of Saint Louis
Gary Jensen,71837,Washington University of Saint Louis
Mark Feldman,438245,Washington University of Saint Louis
Xiang Tang,908075,Washington University of Saint Louis
Xuanyu Pan,1989445,Washington University of Saint Louis
Todd Kuffner,1897903,Washington University of Saint Louis
A. Baerstein,469169,Washington University of Saint Louis
Ivan Horozov,1636752,Washington University of Saint Louis
Matt Kerr,2114671,Washington University of Saint Louis
Zhenghui Huo,2186481,Washington University of Saint Louis
