Name,Gender,Date,College,Tier,ClassID,OverallScore,Helpfulness,Lod,Clarity,Quality,TakeAgain,TeacherGrade,Tag,Polarity,Subjectivity,CommentNumber,Comment
Tim Flaherty,M,4/30/19,Carnegie Mellon University,2,MATH256,1,1,5,1,awful,No,D,"['Graded by few things', 'Tough grader']",-0.24,0.65,77,"He's a terrible lecturer, and just rude. He told me not to come to his office hours again since I was so confused and was &quot;unprepared with a thorough grasp of the material&quot;. Not being good at math, I had to drop the class as I did bad on the first test. Stay away from him if you can."
Tim Flaherty,M,12/7/18,Carnegie Mellon University,2,CAL259,3,3,4,3,average,No,N/A,"['Get ready to read', 'Lots of homework', 'Test heavy']",0.19,0.54,77,"His lectures are usually fine (except for long proofs), but you can skip lecture and just read the textbook. HW is decently long/difficult so you might want to work with others. First two tests are easy, the last two tests are difficult/ too little time. Not a lot of practice problems though. Not a terrible professor but he can screw you over."
Tim Flaherty,M,12/5/18,Carnegie Mellon University,2,MATH21259,1,1,5,1,awful,No,C+,"['Lecture heavy', 'Lots of homework', 'Tough grader']",0.22,0.56,77,"Lectures; you can never go to one and get the same grade as if you stayed awake and attentive the entire time. Tests; first two are easy, prepare the water and silicone for the last two. A? good luck, pray you can keep a B. Flaherty? Quirky fellow, would not take his class again however."
Tim Flaherty,M,12/4/18,Carnegie Mellon University,2,CALC3D,1,1,5,1,awful,No,A+,"['Tough grader', 'Test heavy', 'Lots of homework']",0,0,77,Tim Fleherty does not care about his students.
Tim Flaherty,M,11/19/18,Carnegie Mellon University,2,CALC3D,1,1,5,1,awful,No,N/A,"['Lots of homework', 'Tough grader']",0.28,0.52,77,"Doesn't listen to student feedback on exam difficulty; caters &amp; teaches primarily to those who plan to be math majors or have already taken the course in another capacity (ie: taken it and dropped, took it in high school, etc). Test diffuculty (specifically exams 3 &amp; 4)"
Tim Flaherty,M,10/23/18,Carnegie Mellon University,2,CALC3D,1,1,5,1,awful,No,B+,"['Test heavy', 'Tough grader', 'Lots of homework']",0,0.36,77,Tim Flaherty does not care about his students. He is simply a professor that is at CMU to do research.
Tim Flaherty,M,7/3/18,Carnegie Mellon University,2,CALC122,1,1,4,1,awful,No,A,"['Lots of homework', 'Test heavy', 'Tough grader']",-0.29,0.54,77,Hard to get an A
Tim Flaherty,M,5/17/18,Carnegie Mellon University,2,MATH241,3,3,4,3,average,No,B,"['Inspirational', 'Accessible outside class', 'Lecture heavy']",0.23,0.62,77,"Lectures: he teaches straight from the textbook- making them pretty useless. Homeworks: reasonable. Exams: unreasonably difficult/long (i.e. take a 5x5 determinant on one problem and then apply it). I love his effort- he gives HUNDREDS of slots per week for 1:1 help for students, but it doesn't always equate to successful teaching."
Tim Flaherty,M,1/11/18,Carnegie Mellon University,2,CALC21259,1,1,5,1,awful,No,B,"['Tough grader', 'Lots of homework']",0.12,0.31,77,He insults students in class. Doesn't care about the success of his students. Apparently gets almost fired every year. Is banned from teaching other math classes for above reasons. Apparently once upon a time he was a good professor. But he has since lost his touch. Don't listen to other comments praising him.
Tim Flaherty,M,12/18/17,Carnegie Mellon University,2,CALC3D,1,1,4,1,awful,No,N/A,"['Tough grader', 'Lots of homework']",0,0.1,77,Lecture is all theoretical and focused on proofs. It doesn't teach how to solve problems or do the homework.
Tim Flaherty,M,11/17/17,Carnegie Mellon University,2,CALC259,4,4,4,4,good,No,Not sure yet,"['Test heavy', 'Lots of homework', 'Tough grader']",0.15,0.42,77,"Writes very fast and assigns lots of homework that takes a decent amount of time to do. Very test heavy class and the tests are usually much harder than the homework. Practice tests do not represent the actual tests too well, but are worth doing because duplicates of problems from the practice may appear. Most importantly, he is extremely hot."
Tim Flaherty,M,8/11/17,Carnegie Mellon University,2,CALC259,1,1,3,1,awful,No,N/A,"['Tough grader', 'Lots of homework']",-0.89,1,77,"awful teacher, very awkward"
Tim Flaherty,M,4/27/17,Carnegie Mellon University,2,CALC122,4,4,3,4,good,Yes,N/A,"['Lots of homework', 'Hilarious']",0,0,77,His homework requires some self-study.
Tim Flaherty,M,3/21/17,Carnegie Mellon University,2,CALC259,5,5,4,5,awesome,Yes,B,['Hilarious'],0.3,0.1,77,"Showed up with a picture of Shrek on his vector calculus slides, and that's when I knew he was worth a 5"
Tim Flaherty,M,1/13/17,Carnegie Mellon University,2,CALC122,2,2,2,2,poor,No,A,['Lots of homework'],0.2,0.2,77,loves webassign way too much
Tim Flaherty,M,12/21/16,Carnegie Mellon University,2,MATH21259,1,1,5,1,awful,No,N/A,"['Lots of homework', 'Test heavy', 'Get ready to read']",0.05,0.66,77,"Calc3D is easy to me. The book was good enough for most of the class. I still went to most lectures, which were helpful until the 3rd unit & he stopped making sense. He teaches from slides that are copied&pasted from the textbook. I was doing well on track for a B until he gave us an impossible final that destroyed my GPA. Very disappointed in him."
Tim Flaherty,M,12/7/16,Carnegie Mellon University,2,CALC3D,1,1,3,1,awful,No,N/A,['Lots of homework'],-0.01,0.53,77,"I would call him an inconsistent teacher at best. His lectures are poorly-paced, and he spends excessive amounts of time working through proofs of theorems that are unnecessary and irrelevant to the students' interest. He spends lots of time working through these very theory-heavy proofs, and then skimps on time spent on his actual lecture material"
Tim Flaherty,M,11/2/16,Carnegie Mellon University,2,CALC3D,2,2,3,2,poor,No,A,"['Lecture heavy', 'Accessible outside class']",0,0.53,77,"Flaherty is a very decent professor you'll meet. The lectures are decent and helpful but you can get the same knowledge by reading the textbook. The homework is alright but he gives WebAssigns Friday mornings that are due Friday nights. His voice a lullaby and he makes bad jokes in class. You'll be fine, but you don't need to show up to do well."
Tim Flaherty,M,10/30/16,Carnegie Mellon University,2,CALC259,3,3,3,3,average,Yes,N/A,"['Inspirational', 'Tough grader', 'Lots of homework']",0.08,0.42,77,The textbook is usually plenty to do an okay job in this class. Sometimes he doesn't go into enough detail/clarification in lecture.
Tim Flaherty,M,10/14/16,Carnegie Mellon University,2,MATH259,4,4,3,4,good,Yes,N/A,['Hilarious'],0.21,0.75,77,"Very funny guy. Lectures are pretty rigorous, class was pretty standard calc 3."
Tim Flaherty,M,4/29/16,Carnegie Mellon University,2,CALC122,4,3,3,5,good,Yes,N/A,"['Lots of homework', 'Hilarious']",0.18,0.84,77,"Weird sense of humor, kind of a weird guy, but a great lecturer. Very clear explanations and willing to take questions. Has a cute dog."
Tim Flaherty,M,2/3/16,Carnegie Mellon University,2,CALC122,3,3,4,3,average,N/A,B+,"[""Skip class? You won't pass."", 'Tough grader']",-0.19,0.77,77,"It is hard to teach to a huge class. Even with that in mind, he is pretty boring, and at times confusing."
Tim Flaherty,M,11/10/15,Carnegie Mellon University,2,MSC21241,4.5,4,3,5,awesome,Yes,Not sure yet,"['Lots of homework', 'Hilarious']",0.14,0.52,77,"Crystal clear explanation of subject, never goes too fast. Eccentric at time, but always in a humorous way. Ask him if math is real."
Tim Flaherty,M,11/4/15,Carnegie Mellon University,2,CALC21122,4,4,3,4,good,N/A,Not sure yet,"['Lots of homework', 'Caring', 'Hilarious']",0.32,0.57,77,I actually think he's a pretty good professor. 
Tim Flaherty,M,11/1/15,Carnegie Mellon University,2,21241MATRICES,3.5,3,3,4,good,N/A,N/A,"['Lots of homework', 'Lecture heavy']",0.7,0.6,77,"The professor is good, but he has a monotonous voice. I would recommend the class, but just be warned."
Tim Flaherty,M,10/11/15,Carnegie Mellon University,2,21241,5,5,1,5,awesome,N/A,N/A,"['Caring', 'Amazing lectures', 'Inspirational']",1,0.3,77,Best teacher in the world!
Tim Flaherty,M,9/1/15,Carnegie Mellon University,2,21124,5,5,1,5,awesome,N/A,A,['Lots of homework'],0.12,0.62,77,"Course content wasn't so hard, and professor Flaherty teaches really well. Lectures are clear, and interesting. Assignments are partially in textbook and are not difficult. Exams are pretty easy as long as you are careful in lectures and do the homework. "
Tim Flaherty,M,4/29/15,Carnegie Mellon University,2,21120,5,5,2,5,awesome,N/A,N/A,['Hilarious'],0.2,0.66,77,"Took summer course. Had only ten people in the class. He was very funny, and always very friendly and helpful."
Tim Flaherty,M,4/23/15,Carnegie Mellon University,2,21127,3,4,4,2,average,N/A,A,"['Lots of homework', ""Skip class? You won't pass."", 'Hilarious']",0.4,0.45,77,"Studied topology in concepts, walked out feeling ten times as intelligent, 1110 would take again."
Tim Flaherty,M,4/21/15,Carnegie Mellon University,2,21217,2,3,5,1,poor,N/A,N/A,[],-0.2,0.71,77,"Felt like we were running in the class before we could even walk, his lectures were a bit convoluted and not very helpful on HW.  The HW difficulty did not match what was taught to us, which resulted in overcrowded OH.  Also taught material not covered in textbook, thus hard to review the material on your own.  Probably worst class I've taken here"
Tim Flaherty,M,4/19/15,Carnegie Mellon University,2,21127,1,1,4,1,awful,N/A,A+,[],-0.21,0.55,77,"Poorly structured lectures and class in general, things weren't taught in the optimal order in my opinion. The course structure was hard to follow and assumed you already knew a lot of stuff."
Tim Flaherty,M,4/8/15,Carnegie Mellon University,2,21127,4.5,5,2,4,awesome,N/A,A,"['Clear grading criteria', 'Hilarious']",-0.01,0.51,77,Took 21-127. Topology is hard but all the questions he gave us are pretty standard
Tim Flaherty,M,1/29/15,Carnegie Mellon University,2,21127,4,4,3,4,good,N/A,B,"[""Skip class? You won't pass.""]",0.19,0.43,77,"21-127 is probably the first formal math class for students in CMU. It's definitely hard, because college math is of course harder than high school math. Flaherty is a very interesting professor, and I really enjoy his teaching!"
Tim Flaherty,M,11/21/14,Carnegie Mellon University,2,21127,5,5,1,5,awesome,N/A,N/A,"['Inspirational', 'Hilarious', 'Amazing lectures']",-0.67,1,77,Flaherty is THE man. His lectures are structured like a comedy show. It is virtually impossible to fall asleep in his class (without waking up with him standing in front of your face). He has also helped me to discover my life passion for topology.
Tim Flaherty,M,11/3/14,Carnegie Mellon University,2,21127,3,3,4,3,average,N/A,N/A,"[""Skip class? You won't pass."", 'Tough grader']",-0.04,0.44,77,"Everything was going well until topology, and it was crazy hard. Got a 35% on the topology test but with the curve, managed to get a high D. Good with exam appeals, and homework is definitely much harder than the actual exams. Don't put off homework to the day before it's due. Almost droppedpassfailed the class."
Tim Flaherty,M,10/30/14,Carnegie Mellon University,2,21127,4,4,2,4,good,N/A,A,['Hilarious'],0.6,1,77,Nice 
Tim Flaherty,M,2/19/14,Carnegie Mellon University,2,21241,5,5,1,5,awesome,N/A,N/A,[],0.27,0.56,77,He has a well planned out lecture that involves some very simple proofs and examples. His hws sometimes have some questions that require some thought but are usually straightforward. His tests are relatively easy I would say.
Tim Flaherty,M,11/16/11,Carnegie Mellon University,2,MATH241,5,5,3,5,awesome,N/A,N/A,[],0.25,0.62,77,"Good teacher, cares a lot about whether students are learning and has a nice sense of humor.  Gives hard tests, but assignments are brief and painless."
